cell,adv_id,tail_env,n,seed,feas_contam,stat,engine,stat_obs
2-2-4,A3_bursty_u_on_y,t3,2000,900040,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900040,,slack_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900040,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900040,,gtest,none,311.5300376443852
2-2-4,A3_bursty_u_on_y,t3,2000,900041,,kl_plugin,none,5.5420693081505643e-17
2-2-4,A3_bursty_u_on_y,t3,2000,900041,,kl_split,none,1.4762136813373326e-05
2-2-4,A3_bursty_u_on_y,t3,2000,900041,,kl_crossfit,none,1.4762093204104569e-05
2-2-4,A3_bursty_u_on_y,t3,2000,900041,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900041,,slack_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900041,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900041,,gtest,none,207.28930537052761
2-2-4,A3_bursty_u_on_y,t3,2000,900042,,kl_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900042,,kl_split,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900042,,kl_crossfit,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900042,,cf1_margin,none,1.0
2-2-4,A3_bursty_u_on_y,t3,2000,900042,,slack_plugin,none,1.0
2-2-4,A3_bursty_u_on_y,t3,2000,900042,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900042,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900043,,kl_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900043,,kl_split,none,0.0011056104468495365
2-2-4,A3_bursty_u_on_y,t3,2000,900043,,kl_crossfit,none,1.040826164720918
2-2-4,A3_bursty_u_on_y,t3,2000,900043,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900043,,slack_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900043,,gm_battery,none,0.0
